@timestamp,log_level,context,event_type,result_size,update_count,data_source,source_file
2026-03-24T23:35:34.698Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.699Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.699Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.699Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.699Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.699Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.700Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.700Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.700Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.700Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.701Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.702Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.702Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.702Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.702Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.704Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.704Z,info,MegaCommon:STP@ALL,result_size,1.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.704Z,info,MegaCommon:STP@ALL,result_size,1.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.706Z,info,MegaCommon:STP@ALL,result_size,0.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.707Z,info,MegaCommon:STP@ALL,result_size,0.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.708Z,info,MegaCommon:STP@ALL,result_size,0.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.708Z,info,MegaCommon:STP@ALL,result_size,1.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.710Z,info,MegaCommon:STP@ALL,result_size,0.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.710Z,info,MegaCommon:STP@ALL,result_size,1.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.722Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.723Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.713Z,info,MegaCommon:STP@ALL,result_size,1.0,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.723Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.723Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.723Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.723Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.706Z,info,MegaCommon:STP@ALL,update_count,,1.0,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.724Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.725Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.725Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.725Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.726Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.726Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.726Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.726Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.726Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.727Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.727Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.728Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.707Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.707Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.709Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.709Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.709Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.709Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.710Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.710Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.711Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.712Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.712Z,info,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
2026-03-24T23:35:34.712Z,debug,MegaCommon:STP@ALL,generic,,,,/usr/share/logstash/uploads/raw/Persistence.log-5
